name,released_at,genre,streaming_on,country,type,content_rating,imdb_rating,number_of_seasons,cast_and_crew
Mongolian Ping Pong,6/11/2005,"Comedy, Drama",Fandor,China,Movie,,6.5/10,,"[{'name': 'Ning Hao', 'description': 'director'}, {'name': 'Hurichabilike', 'description': 'actor'}, {'name': 'Dawa', 'description': 'actor'}, {'name': 'Geliban', 'description': 'actor'}, {'name': 'Yidexinnaribu', 'description': 'actor'}, {'name': 'Badema', 'description': 'actor'}, {'name': 'Wurima', 'description': 'actor'}, {'name': 'Dugema', 'description': 'actor'}, {'name': 'Jinlaowu', 'description': 'actor'}, {'name': 'Buhebilike', 'description': 'actor'}, {'name': 'Sarengaowa', 'description': 'actor'}, {'name': 'Bin Lu', 'description': 'actor'}, {'name': 'Bu He', 'description': 'actor'}, {'name': 'Ning Hao', 'description': 'author'}, {'name': 'Wuhe', 'description': 'actor'}]"
Tickling Giants,3/15/2017,"Drama, Documentary","Free Services, Prime Video",Egypt,Movie,16+,8.2/10,,"[{'name': 'Sara Taksler', 'description': 'director'}, {'name': 'Bassem Youssef', 'description': 'actor'}, {'name': 'Jon Stewart', 'description': 'actor'}, {'name': 'Frederic Rose', 'description': 'actor'}, {'name': 'Maziar Bahari', 'description': 'actor'}, {'name': 'Monica Hampton', 'description': 'actor'}, {'name': 'Sara Taksler', 'description': 'actor'}, {'name': 'Sara Taksler', 'description': 'author'}]"
The Craft: Legacy,10/28/2020,"Fantasy, Drama","Starz, Prime Video",America,Movie,13+ (PG-13),4.4/10,,"[{'name': 'Zoe Lister-Jones', 'description': 'director'}, {'name': 'Cailee Spaeny', 'description': 'actor'}, {'name': 'Lovie Simone', 'description': 'actor'}, {'name': 'Gideon Adlon', 'description': 'actor'}, {'name': 'Zoey Luna', 'description': 'actor'}, {'name': 'David Duchovny', 'description': 'actor'}, {'name': 'Michelle Monaghan', 'description': 'actor'}, {'name': 'Nicholas Galitzine', 'description': 'actor'}, {'name': 'Julian Grey', 'description': 'actor'}, {'name': 'Charles Vandervaart', 'description': 'actor'}, {'name': 'Donald MacLean Jr.', 'description': 'actor'}, {'name': 'Fairuza Balk', 'description': 'actor'}, {'name': 'Hannah Gordon', 'description': 'actor'}, {'name': 'Chris Tomassetti', 'description': 'actor'}, {'name': 'Kris Siddiqi', 'description': 'actor'}, {'name': 'James Madge', 'description': 'actor'}, {'name': 'Victor Chiu', 'description': 'actor'}, {'name': 'Devin Cecchetto', 'description': 'actor'}, {'name': 'Debbie Fan', 'description': 'actor'}, {'name': 'Heath V. Salazar', 'description': 'actor'}, {'name': 'Eddie Max Huband', 'description': 'actor'}, {'name': 'Travis Caverhill', 'description': 'actor'}, {'name': 'Douglas Wick', 'description': 'actor'}, {'name': 'Jason Blum', 'description': 'actor'}]"
The Road To,5/24/2012,"Drama, Comedy",Prime Video ,Russia,Movie,,5.5/10,,"[{'name': 'Taisia Igumentseva', 'description': 'director'}, {'name': 'Sergey Abroskin', 'description': 'actor'}, {'name': 'Anna Rud', 'description': 'actor'}, {'name': 'Sergey Podkolzin', 'description': 'actor'}, {'name': 'Vladimir Gorislavets', 'description': 'actor'}, {'name': 'Alexey Uchitel', 'description': 'actor'}, {'name': 'Alexandra Golovina', 'description': 'author'}, {'name': 'Taisia Igumentseva', 'description': 'author'}, {'name': 'Dmitry Komissarov', 'description': 'actor'}, {'name': 'Dmitry Lisitsa', 'description': 'actor'}, {'name': 'Timur Maximov', 'description': 'actor'}]"
Fairy Tail: Phoenix Priestess,8/18/2012,"Drama, Anime",Free Services,Japan,Movie,13+ (PG-13),10-Jul,,"[{'name': 'Masaya Fujimori', 'description': 'director'}, {'name': 'Aya Endo', 'description': 'actor'}, {'name': 'Rie Kugimiya', 'description': 'actor'}, {'name': 'Yuichi Nakamura', 'description': 'actor'}, {'name': 'Aya Hirano', 'description': 'actor'}, {'name': 'Satomi Sato', 'description': 'actor'}, {'name': 'Mika Kanai', 'description': 'actor'}, {'name': 'Tetsuya Kakihara', 'description': 'actor'}, {'name': 'Sayaka Ohara', 'description': 'actor'}, {'name': 'Showtaro Morikubo', 'description': 'actor'}, {'name': 'Yui Horie', 'description': 'actor'}, {'name': 'Eri Kitamura', 'description': 'actor'}, {'name': 'Nakahara Mai', 'description': 'actor'}, {'name': 'Wataru Hatano', 'description': 'actor'}, {'name': 'Ryoko Ono', 'description': 'actor'}, {'name': 'Miyuki Sawashiro', 'description': 'actor'}, {'name': 'Hiroki Touchi', 'description': 'actor'}, {'name': 'Mariya Ise', 'description': 'actor'}, {'name': 'Shinpachi Tsuji', 'description': 'actor'}, {'name': 'Katsuyuki Konishi', 'description': 'actor'}, {'name': 'Eiji Sekiguchi', 'description': 'actor'}, {'name': 'Harumi Sakurai', 'description': 'actor'}, {'name': 'Carly Hunter', 'description': 'actor'}, {'name': 'Justin Cook', 'description': 'actor'}]"
Premachi Goshta,2/1/2013,"Drama, Romance",Prime Video ,India,Movie,,7.2/10,,"[{'name': 'Satish Rajwade', 'description': 'director'}, {'name': 'Atul Kulkarni', 'description': 'actor'}, {'name': 'Sagarika Ghatge', 'description': 'actor'}, {'name': 'Rohini Hattangadi', 'description': 'actor'}, {'name': 'Satish Rajwade', 'description': 'actor'}, {'name': 'Sulekha Talwalkar', 'description': 'actor'}, {'name': 'Chinmay Kelkar', 'description': 'author'}]"
The Thirteenth Floor,4/16/1999,"Science-Fiction, Thriller","HBO MAX, Prime Video",Germany,Movie,18+ (R),10-Jul,,"[{'name': 'Josef Rusnak', 'description': 'director'}, {'name': 'Craig Bierko', 'description': 'actor'}, {'name': 'Armin Mueller-Stahl', 'description': 'actor'}, {'name': 'Gretchen Mol', 'description': 'actor'}, {'name': ""Vincent D'Onofrio"", 'description': 'actor'}, {'name': 'Dennis Haysbert', 'description': 'actor'}, {'name': 'Steven Schub', 'description': 'actor'}, {'name': 'Jeremy Roberts', 'description': 'actor'}, {'name': 'Rif Hutton', 'description': 'actor'}, {'name': 'Leon Rippy', 'description': 'actor'}, {'name': 'Janet MacLachlan', 'description': 'actor'}, {'name': 'Brad William Henke', 'description': 'actor'}, {'name': 'Burt Bulos', 'description': 'actor'}, {'name': 'Venessia Valentino', 'description': 'actor'}, {'name': 'Howard S. Miller', 'description': 'actor'}, {'name': 'Tia Texada', 'description': 'actor'}, {'name': 'Shiri Appleby', 'description': 'actor'}, {'name': 'Bob Clendenin', 'description': 'actor'}, {'name': 'Rachel Winfree', 'description': 'actor'}, {'name': 'Meghan Ivey', 'description': 'actor'}, {'name': 'Alison Lohman', 'description': 'actor'}, {'name': 'Hadda Brooks', 'description': 'actor'}, {'name': 'Marco Weber', 'description': 'actor'}, {'name': 'Roland Emmerich', 'description': 'actor'}]"
The Salt of the Earth,9/27/2014,"Biography, Documentary","Starz, Prime Video",Brazil,Movie,13+ (PG-13),8.4/10,,"[{'name': 'Juliano Ribeiro Salgado', 'description': 'director'}, {'name': 'Wim Wenders', 'description': 'director'}, {'name': 'Sebastião Salgado', 'description': 'actor'}, {'name': 'Wim Wenders', 'description': 'actor'}, {'name': 'Juliano Ribeiro Salgado', 'description': 'actor'}, {'name': 'Hugo Barbier', 'description': 'actor'}, {'name': 'Lélia Wanick Salgado', 'description': 'actor'}, {'name': 'Jacques Barthélémy', 'description': 'actor'}, {'name': 'Régis Muller', 'description': 'actor'}, {'name': 'João Pessoa Mattos', 'description': 'actor'}, {'name': 'Leny Wanick Mattos', 'description': 'actor'}, {'name': 'Maria Teresa Salgado Rocha Bastos', 'description': 'actor'}, {'name': 'Rodrigo Ribeiro Salgado', 'description': 'actor'}, {'name': 'David Rosier', 'description': 'actor'}, {'name': 'Camille Delafon', 'description': 'author'}, {'name': 'David Rosier', 'description': 'author'}, {'name': 'Juliano Ribeiro Salgado', 'description': 'author'}, {'name': 'Wim Wenders', 'description': 'author'}]"
Cherry (A Stephanie James Film),5/5/2018,Drama,Prime Video ,,Movie,,,,[]
Reprisal,8/31/2018,"Crime, Action & Adventure","Netflix, Prime Video",United Kingdom,Movie,18+ (R),4.2/10,,"[{'name': 'Brian A. Miller', 'description': 'director'}, {'name': 'Frank Grillo', 'description': 'actor'}, {'name': 'Bruce Willis', 'description': 'actor'}, {'name': 'Johnathon Schaech', 'description': 'actor'}, {'name': 'Olivia Culpo', 'description': 'actor'}, {'name': 'Natali Yura', 'description': 'actor'}, {'name': 'Tyler Jon Olson', 'description': 'actor'}, {'name': 'Wass Stevens', 'description': 'actor'}, {'name': 'Colin Egglesfield', 'description': 'actor'}, {'name': 'Shea Buckner', 'description': 'actor'}, {'name': 'Christopher Rob Bowen', 'description': 'actor'}, {'name': 'Ken Strunk', 'description': 'actor'}, {'name': 'Tamara Belous', 'description': 'actor'}, {'name': 'Cameron Brexler', 'description': 'actor'}, {'name': 'Geoff Reeves', 'description': 'actor'}, {'name': 'John Dauer', 'description': 'actor'}, {'name': 'Nicolas Petron', 'description': 'actor'}, {'name': 'Uncle Murda', 'description': 'actor'}, {'name': 'Natalia Sophie Butler', 'description': 'actor'}, {'name': 'Jesse Pruett', 'description': 'actor'}, {'name': 'Rachele Richey', 'description': 'actor'}, {'name': 'Sergio Rizzuto', 'description': 'actor'}, {'name': 'George Furla', 'description': 'actor'}, {'name': 'Mark Stewart', 'description': 'actor'}]"
