name,released_at,genre,streaming_on,country,type,content_rating,imdb_rating,number_of_seasons,cast_and_crew
Come on Eileen,10/6/2010,"Comedy, Drama",Prime Video ,United Kingdom,Movie,,6.5/10,,"[{'name': 'Finola Geraghty', 'description': 'director'}, {'name': 'Jackie Howe', 'description': 'actor'}, {'name': 'Felix Malcolm Still', 'description': 'actor'}, {'name': 'Mercedes Grower', 'description': 'actor'}, {'name': 'Noel Fielding', 'description': 'actor'}, {'name': 'Julia Davis', 'description': 'actor'}, {'name': 'Freddie Jones', 'description': 'actor'}, {'name': 'Keith Allen', 'description': 'actor'}, {'name': 'Stephen Taylor', 'description': 'actor'}, {'name': 'Matt Cross', 'description': 'actor'}, {'name': 'Peter Barrett', 'description': 'actor'}, {'name': 'Melanie Hudson', 'description': 'actor'}, {'name': 'Pat Tookey-Dickson', 'description': 'actor'}, {'name': 'Jacob Read', 'description': 'actor'}, {'name': 'Jane Kemlo', 'description': 'actor'}, {'name': 'John Milroy', 'description': 'actor'}, {'name': 'Christian Dunne', 'description': 'actor'}, {'name': 'Amber Geraghty', 'description': 'actor'}, {'name': 'Louis Crump', 'description': 'actor'}, {'name': 'Leon Davis', 'description': 'actor'}, {'name': 'Shannon Murray', 'description': 'actor'}, {'name': 'Finola Geraghty', 'description': 'author'}]"
Surviving Skokie,11/8/2015,Documentary,Free Services,America,Movie,,7.9/10,,"[{'name': 'Blair Gershkow', 'description': 'director'}, {'name': 'Eli Adler\x1d\x1d\x1d\x1d\x1d\x1d\x1d\x1d', 'description': 'director'}, {'name': 'Eli Adler\x1d\x1d\x1d\x1d\x1d\x1d\x1d\x1d', 'description': 'actor'}, {'name': 'Jack Adler', 'description': 'actor'}, {'name': 'Blair Gershkow', 'description': 'actor'}, {'name': 'Eli Adler\x1d\x1d\x1d\x1d\x1d\x1d\x1d\x1d', 'description': 'actor'}, {'name': 'Blair Gershkow', 'description': 'author'}]"
LenaLove,9/22/2016,"Romance, Thriller","Free Services, Prime Video",Germany,Movie,,5.7/10,,"[{'name': 'Florian Gaag', 'description': 'director'}, {'name': 'Emilia Schüle', 'description': 'actor'}, {'name': 'Jannik Schümann', 'description': 'actor'}, {'name': 'Sina Tkotsch', 'description': 'actor'}, {'name': 'Kyra Sophia Kahre', 'description': 'actor'}, {'name': 'Anna Bederke', 'description': 'actor'}, {'name': 'Felix Knopp', 'description': 'actor'}, {'name': 'Sandra Borgmann', 'description': 'actor'}, {'name': 'Georg Böhm', 'description': 'actor'}, {'name': 'Andrea Wenzl', 'description': 'actor'}, {'name': 'Dagmar Leesch', 'description': 'actor'}, {'name': 'Thomas Niehaus', 'description': 'actor'}, {'name': 'Veit Stübner', 'description': 'actor'}, {'name': 'Jean-Luc Bubert', 'description': 'actor'}, {'name': 'Moritz Leu', 'description': 'actor'}, {'name': 'Chatri Brüning', 'description': 'actor'}, {'name': 'Jacob Matschenz', 'description': 'actor'}, {'name': 'Florian Gaag', 'description': 'author'}, {'name': 'Richard Ruzicka', 'description': 'actor'}]"
Blitzkrieg,6/1/2002,"Drama, Documentary","Free Services, Prime Video",,Movie,,7.6/10,,[]
Rogue Trip,7/24/2020,"Action & Adventure, Documentary",Disney+,,TV Show,7+ (TV-PG),10-Jul,1,"[{'name': 'Bob Woodruff', 'description': 'actor'}, {'name': 'Mack Woodruff', 'description': 'actor'}]"
Out on Stage,7/24/2018,Comedy,"Prime Video, Prime Video",,Movie,,7.1/10,,"[{'name': 'Samuel Brownfield', 'description': 'director'}, {'name': 'Gloria Bigelow', 'description': 'actor'}, {'name': 'Janine Brito', 'description': 'actor'}, {'name': 'Christopher Smith Bryant', 'description': 'actor'}, {'name': 'A.B. Cassidy', 'description': 'actor'}, {'name': 'Anthony Desamito', 'description': 'actor'}, {'name': 'Joe Dosch', 'description': 'actor'}, {'name': 'Jared Goldstein', 'description': 'actor'}, {'name': 'Eric Hahn', 'description': 'actor'}, {'name': 'Casey Ley', 'description': 'actor'}, {'name': 'Rudy Valentino', 'description': 'actor'}, {'name': 'Jordan Pease', 'description': 'actor'}, {'name': 'Raneir Pollard', 'description': 'actor'}, {'name': 'Jonathan Rowell', 'description': 'actor'}, {'name': 'Brendan Scannell', 'description': 'actor'}, {'name': 'Kyle Shire', 'description': 'actor'}, {'name': 'Zach Noe Towers', 'description': 'actor'}, {'name': 'Irene Tu', 'description': 'actor'}, {'name': 'Daniel Webb', 'description': 'actor'}]"
The Danger Element,8/1/2017,"Action & Adventure, Science-Fiction",Free Services,,Movie,16+,4.7/10,,"[{'name': 'John Soares', 'description': 'director'}, {'name': 'Doug Jones', 'description': 'actor'}, {'name': 'Cassie Meder', 'description': 'actor'}, {'name': 'John Soares', 'description': 'actor'}]"
Romance on the Range,5/18/1942,Comedy,"Free Services, Prime Video",America,Movie,,6.2/10,,"[{'name': 'Joseph Kane', 'description': 'director'}, {'name': 'Roy Rogers', 'description': 'actor'}, {'name': ""George 'Gabby' Hayes"", 'description': 'actor'}, {'name': 'Sally Payne', 'description': 'actor'}, {'name': 'Linda Hayes', 'description': 'actor'}, {'name': 'Edward Pawley', 'description': 'actor'}, {'name': 'Harry Woods', 'description': 'actor'}, {'name': 'Hal Taliaferro', 'description': 'actor'}, {'name': 'Glenn Strange', 'description': 'actor'}, {'name': 'Roy Barcroft', 'description': 'actor'}, {'name': 'Richard Alexander', 'description': 'actor'}, {'name': 'Pat Brady', 'description': 'actor'}, {'name': 'Frank Brownlee', 'description': 'actor'}, {'name': 'Chester Conklin', 'description': 'actor'}, {'name': 'Spade Cooley', 'description': 'actor'}, {'name': 'Jim Corey', 'description': 'actor'}, {'name': 'Hugh Farr', 'description': 'actor'}, {'name': 'Karl Farr', 'description': 'actor'}, {'name': 'Chick Hannan', 'description': 'actor'}, {'name': 'Selmer Jackson', 'description': 'actor'}, {'name': 'Jack Kirk', 'description': 'actor'}, {'name': 'Art Mix', 'description': 'actor'}, {'name': 'J. Benton Cheney', 'description': 'author'}]"
Roads of Ithriyah,1/10/2022,"Drama, Action & Adventure","Free Services, Prime Video",,Movie,,8.6/10,,[]
The Last Fiction,11/27/2019,"Action & Adventure, Drama","Free Services, Prime Video",Iran,Movie,,6.9/10,,"[{'name': 'Ashkan Rahgozar', 'description': 'director'}, {'name': 'Leila Hatami', 'description': 'actor'}, {'name': 'Parviz Parastouei', 'description': 'actor'}, {'name': 'Hamed Behdad', 'description': 'actor'}, {'name': 'Ashkan Khatibi', 'description': 'actor'}, {'name': 'Akbar Zanjanpour', 'description': 'actor'}, {'name': 'Baran Kosari', 'description': 'actor'}, {'name': 'Banipal Shoomoon', 'description': 'actor'}, {'name': 'Farrokh Nemati', 'description': 'actor'}, {'name': 'Hassan Pourshirazi', 'description': 'actor'}, {'name': 'Shaghayegh Farahani', 'description': 'actor'}, {'name': 'Melika Sharifinia', 'description': 'actor'}, {'name': 'Zoheir Yari', 'description': 'actor'}, {'name': 'Majid Mozaffari', 'description': 'actor'}, {'name': 'Bita Farrahi', 'description': 'actor'}, {'name': 'Ehsan Rasoulof', 'description': 'actor'}, {'name': 'Alireza-Ehsan Rahgozar', 'description': 'actor'}, {'name': 'Arman Rahgozar', 'description': 'actor'}, {'name': 'Ashkan Rahgozar', 'description': 'author'}, {'name': 'Christophe Rezai', 'description': 'actor'}]"
Lewis Hamilton: The Winning Formula,8/24/2021,"Documentary, Sport","Free Services, Prime Video",United Kingdom,Movie,,3.3/10,,"[{'name': 'Piers Garland', 'description': 'director'}, {'name': 'Lewis Hamilton', 'description': 'actor'}, {'name': 'Jenson Button', 'description': 'actor'}, {'name': 'Piers Garland', 'description': 'actor'}]"
Lock Up: The Prisoners of Rikers Island,1/1/1994,"Crime, Documentary",HBO MAX,America,Movie,18+ (R),7.7/10,,"[{'name': 'Jon Alpert', 'description': 'director'}, {'name': 'Nina Rosenblum', 'description': 'director'}, {'name': 'Jon Alpert', 'description': 'actor'}, {'name': 'Nina Rosenblum', 'description': 'actor'}, {'name': 'Sheila Nevins', 'description': 'actor'}]"
My Big Fat Greek Wedding,2/22/2002,"Romance, Comedy","HBO MAX, Prime Video",Canada,Movie,7+ (PG),6.6/10,,"[{'name': 'Joel Zwick', 'description': 'director'}, {'name': 'Nia Vardalos', 'description': 'actor'}, {'name': 'John Corbett', 'description': 'actor'}, {'name': 'Lainie Kazan', 'description': 'actor'}, {'name': 'Michael Constantine', 'description': 'actor'}, {'name': 'Andrea Martin', 'description': 'actor'}, {'name': 'Joey Fatone', 'description': 'actor'}, {'name': 'Louis Mandylor', 'description': 'actor'}, {'name': 'Gia Carides', 'description': 'actor'}, {'name': 'Christina Eleusiniotis', 'description': 'actor'}, {'name': 'Marita Zouravlioff', 'description': 'actor'}, {'name': 'Gerry Mendicino', 'description': 'actor'}, {'name': 'Bess Meisler', 'description': 'actor'}, {'name': 'Jayne Eastwood', 'description': 'actor'}, {'name': 'Fiona Reid', 'description': 'actor'}, {'name': 'Bruce Gray', 'description': 'actor'}, {'name': 'Frank Falcone', 'description': 'actor'}, {'name': 'Stavroula Logothettis', 'description': 'actor'}, {'name': 'Ian Gomez', 'description': 'actor'}, {'name': 'Gary Goetzman', 'description': 'actor'}, {'name': 'Rita Wilson', 'description': 'actor'}, {'name': 'Tom Hanks', 'description': 'actor'}, {'name': 'Norm Waitt', 'description': 'actor'}, {'name': 'Paul Brooks', 'description': 'actor'}]"
Marlina the Murderer in Four Acts,5/15/2017,"Mystery, Thriller","The Criterion Channel, Prime Video",Indonesia,Movie,,6.9/10,,"[{'name': 'Mouly Surya', 'description': 'director'}, {'name': 'Egy Fedly', 'description': 'actor'}, {'name': 'Marsha Timothy', 'description': 'actor'}, {'name': 'Tumpal Tampubolon', 'description': 'actor'}, {'name': 'Yoga Pratama', 'description': 'actor'}, {'name': 'Haydar Salishz', 'description': 'actor'}, {'name': 'Yayu A.W. Unru', 'description': 'actor'}, {'name': 'Norman R Akyuwen', 'description': 'actor'}, {'name': 'Ruly Lubis', 'description': 'actor'}, {'name': 'Satrya Ghozali', 'description': 'actor'}, {'name': 'Dea Panendra', 'description': 'actor'}, {'name': 'Ayez Kassar', 'description': 'actor'}, {'name': 'Dicky Dewasanto', 'description': 'actor'}, {'name': 'Leriardi Dami', 'description': 'actor'}, {'name': 'Rizky Rahardianto', 'description': 'actor'}, {'name': 'Benedikus Bara', 'description': 'actor'}, {'name': 'Nelson', 'description': 'actor'}, {'name': 'Nandito', 'description': 'actor'}, {'name': 'Rita Matumona', 'description': 'actor'}, {'name': 'Anggun Priambodo', 'description': 'actor'}, {'name': 'Safira Ahmad', 'description': 'actor'}, {'name': 'Aryanto Bitu', 'description': 'actor'}, {'name': 'Fauzan Zidni', 'description': 'actor'}, {'name': 'Rama Adi', 'description': 'actor'}]"
There's Something in The Pilliga,1/10/2015,"Fantasy, Comedy","Free Services, Prime Video",Australia,Movie,,3.5/10,,"[{'name': 'Dane Millerd', 'description': 'director'}, {'name': 'Brendan Byrne', 'description': 'actor'}, {'name': 'Rebecca Callander', 'description': 'actor'}, {'name': 'Leoni Leaver', 'description': 'actor'}, {'name': 'Craig Hawley', 'description': 'actor'}, {'name': 'Fay Beck', 'description': 'actor'}, {'name': 'Dane Millerd', 'description': 'author'}]"
Archon Defender,10/7/2009,"Animation, Fantasy","Free Services, Prime Video",,Movie,,6.9/10,,"[{'name': 'David T. Krupicz', 'description': 'director'}, {'name': 'Astrida Auza', 'description': 'actor'}, {'name': 'Robert Nolan', 'description': 'actor'}, {'name': 'Katie Uhlmann', 'description': 'actor'}, {'name': 'Amanda Jane Smith', 'description': 'actor'}, {'name': 'Dan Wooster', 'description': 'actor'}, {'name': 'Morgan Muscat', 'description': 'actor'}, {'name': 'Michael Mercy', 'description': 'actor'}, {'name': 'Daniel Wyse', 'description': 'actor'}, {'name': 'Chris Kerba', 'description': 'actor'}, {'name': 'David T. Krupicz', 'description': 'actor'}, {'name': 'Geoff Mays', 'description': 'actor'}, {'name': 'Peter Church', 'description': 'actor'}, {'name': 'Morgan Muscat', 'description': 'actor'}, {'name': 'David T. Krupicz', 'description': 'author'}]"
TxT,1/1/2006,"Drama, Horror",Prime Video ,Philippines,Movie,,10-May,,"[{'name': 'Michael Tuviera', 'description': 'director'}, {'name': 'Angel Locsin', 'description': 'actor'}, {'name': 'Dennis Trillo', 'description': 'actor'}, {'name': 'Oyo Boy Sotto', 'description': 'actor'}, {'name': 'Julia Clarete', 'description': 'actor'}, {'name': 'Dante Rivero', 'description': 'actor'}, {'name': 'Eugene Domingo', 'description': 'actor'}, {'name': 'Bing Loyzaga', 'description': 'actor'}, {'name': 'Perla Bautista', 'description': 'actor'}, {'name': 'Allan K.', 'description': 'actor'}, {'name': 'Malou Crisologo', 'description': 'actor'}, {'name': 'Paul Daza', 'description': 'author'}]"
Dead Silent,1/1/1999,"Mystery, Thriller",Prime Video ,,Movie,,4.7/10,,"[{'name': 'Roger Cardinal', 'description': 'director'}, {'name': 'Rob Lowe', 'description': 'actor'}, {'name': 'Catherine Mary Stewart', 'description': 'actor'}, {'name': 'Arlen Aguayo-Stewart', 'description': 'actor'}, {'name': 'Larry Day', 'description': 'actor'}, {'name': 'Sean Devine', 'description': 'actor'}, {'name': 'Allen Altman', 'description': 'actor'}, {'name': 'Mark Camacho', 'description': 'actor'}, {'name': 'Ed Fitzgerald', 'description': 'author'}, {'name': 'Paul Koval', 'description': 'author'}]"
A Deadly Obsession,10/18/2012,"Sport, Action & Adventure","Free Services, Prime Video",America,Movie,,4.3/10,,"[{'name': 'John Stimpson', 'description': 'director'}, {'name': 'Katee Sackhoff', 'description': 'actor'}, {'name': 'Bart Johnson', 'description': 'actor'}, {'name': 'Robyn Lively', 'description': 'actor'}, {'name': 'Grant Harvey', 'description': 'actor'}, {'name': 'Rachel Delante', 'description': 'actor'}, {'name': 'Bates Wilder', 'description': 'actor'}, {'name': 'John Shea', 'description': 'actor'}, {'name': 'Michael Cognata', 'description': 'actor'}, {'name': 'Andria Blackman', 'description': 'actor'}, {'name': 'Erin Cole', 'description': 'actor'}, {'name': 'Lynne Adams', 'description': 'actor'}, {'name': 'Mark DeAngelis', 'description': 'actor'}, {'name': 'Mark Donadio', 'description': 'actor'}, {'name': 'Miriam Marcus', 'description': 'actor'}, {'name': 'Fernando Szew', 'description': 'actor'}, {'name': 'Mark DeAngelis', 'description': 'actor'}, {'name': 'Adam Scott Weissman', 'description': 'author'}, {'name': 'Ed Grenga', 'description': 'actor'}]"
The Final Prophecies,4/1/2010,"History, Documentary",Prime Video ,Israel,Movie,,7.1/10,,"[{'name': 'Brent Miller Jr.', 'description': 'director'}, {'name': 'Kd Bowe', 'description': 'actor'}, {'name': 'Ronnie Cohen', 'description': 'actor'}, {'name': 'Allen Farmer', 'description': 'actor'}, {'name': 'Mike Flanders', 'description': 'actor'}, {'name': 'Arnold Fruchtenbaum', 'description': 'actor'}, {'name': 'Jay McCarl', 'description': 'actor'}, {'name': 'Brian McDaniel', 'description': 'actor'}, {'name': 'Nick Traveri', 'description': 'actor'}, {'name': 'Brent Miller Jr.', 'description': 'author'}]"
Antrum,10/14/2018,Horror,"Free Services, Prime Video",Canada,Movie,,4.9/10,,"[{'name': 'David Amito', 'description': 'director'}, {'name': 'Michael Laicini', 'description': 'director'}, {'name': 'Nicole Tompkins', 'description': 'actor'}, {'name': 'Rowan Smyth', 'description': 'actor'}, {'name': 'Dan Istrate', 'description': 'actor'}, {'name': 'Circus-Szalewski', 'description': 'actor'}, {'name': 'Kristen Elling', 'description': 'actor'}, {'name': 'Shu Sakimoto', 'description': 'actor'}, {'name': 'David Bond', 'description': 'actor'}, {'name': 'Eric Thirteen', 'description': 'actor'}, {'name': 'David Amito', 'description': 'author'}]"
For Life or Death,1/23/1996,Action & Adventure,Free Services,,Movie,,10-May,,"[{'name': 'Michael Lee Baron', 'description': 'director'}, {'name': 'Steven Kaman', 'description': 'director'}, {'name': 'James Lew', 'description': 'actor'}, {'name': 'Richard Norton', 'description': 'actor'}, {'name': 'Mark Pellegrino', 'description': 'actor'}, {'name': 'Kato Kaelin', 'description': 'actor'}, {'name': 'Karen Sheperd', 'description': 'actor'}, {'name': 'Nancy Kwan', 'description': 'actor'}]"
Ernest's Greatest Hits Volume 2,1/1/1992,"Comedy, Family",Free Services,,Movie,,6.3/10,,"[{'name': 'Jim Varney', 'description': 'actor'}]"
Drums Along the Mohawk,11/10/1939,,Prime Video ,America,Movie,,10-Jul,,"[{'name': 'John Ford', 'description': 'director'}, {'name': 'Claudette Colbert', 'description': 'actor'}, {'name': 'Henry Fonda', 'description': 'actor'}, {'name': 'Edna May Oliver', 'description': 'actor'}, {'name': 'Eddie Collins', 'description': 'actor'}, {'name': 'John Carradine', 'description': 'actor'}, {'name': 'Dorris Bowdon', 'description': 'actor'}, {'name': 'Jessie Ralph', 'description': 'actor'}, {'name': 'Arthur Shields', 'description': 'actor'}, {'name': 'Robert Lowery', 'description': 'actor'}, {'name': 'Roger Imhof', 'description': 'actor'}, {'name': 'Francis Ford', 'description': 'actor'}, {'name': 'Ward Bond', 'description': 'actor'}, {'name': 'Kay Linaker', 'description': 'actor'}, {'name': 'Russell Simpson', 'description': 'actor'}, {'name': 'Spencer Charters', 'description': 'actor'}, {'name': 'Si Jenks', 'description': 'actor'}, {'name': 'Jack Pennick', 'description': 'actor'}, {'name': 'Arthur Aylesworth', 'description': 'actor'}, {'name': 'Chief John Big Tree', 'description': 'actor'}, {'name': 'Charles Tannen', 'description': 'actor'}, {'name': 'Paul McVey', 'description': 'actor'}, {'name': 'Darryl F. Zanuck', 'description': 'actor'}, {'name': 'Lamar Trotti', 'description': 'author'}]"
The Program,9/24/1993,"Action & Adventure, Drama","Hulu, Prime Video",America,Movie,18+ (R),6.4/10,,"[{'name': 'David S. Ward', 'description': 'director'}, {'name': 'James Caan', 'description': 'actor'}, {'name': 'Halle Berry', 'description': 'actor'}, {'name': 'Omar Epps', 'description': 'actor'}, {'name': 'Craig Sheffer', 'description': 'actor'}, {'name': 'Kristy Swanson', 'description': 'actor'}, {'name': 'Abraham Benrubi', 'description': 'actor'}, {'name': 'Duane Davis', 'description': 'actor'}, {'name': 'Jon Pennell', 'description': 'actor'}, {'name': 'Andrew Bryniarski', 'description': 'actor'}, {'name': 'Michael Flippo', 'description': 'actor'}, {'name': 'Ernest Dixon', 'description': 'actor'}, {'name': 'Joey Lauren Adams', 'description': 'actor'}, {'name': 'Leon Pridgen', 'description': 'actor'}, {'name': 'Samuel Goldwyn Jr.', 'description': 'actor'}, {'name': 'Duncan Henderson', 'description': 'actor'}, {'name': 'Tom Rothman', 'description': 'actor'}, {'name': 'Aaron Latham', 'description': 'author'}, {'name': 'David S. Ward', 'description': 'author'}, {'name': 'Michel Colombier', 'description': 'actor'}]"
The Orbs,5/31/2013,"Fantasy, Horror",Free Services,,Movie,18+ (R),5.2/10,,"[{'name': 'Jesse H. Knight', 'description': 'director'}, {'name': 'Christy Johnson', 'description': 'actor'}, {'name': 'Patrick G. Keenan', 'description': 'actor'}, {'name': 'David Joy', 'description': 'actor'}, {'name': 'Jesse H. Knight', 'description': 'author'}]"
I Need You Dead!,3/13/2020,"Comedy, Horror","Free Services, Prime Video",,Movie,,7.3/10,,"[{'name': 'Rocko Zevenbergen', 'description': 'director'}, {'name': 'Lloyd Kaufman', 'description': 'actor'}, {'name': 'Mindy Dougherty', 'description': 'actor'}, {'name': ""Hunter O'Harrow"", 'description': 'actor'}, {'name': 'Jason Reynolds', 'description': 'actor'}, {'name': 'Lance Caver', 'description': 'actor'}, {'name': 'Montetré', 'description': 'actor'}, {'name': 'Danielle Neblock', 'description': 'actor'}, {'name': 'Derek Slade Tucker', 'description': 'actor'}, {'name': 'Dan Fitz', 'description': 'actor'}, {'name': 'Estevan Muñoz', 'description': 'actor'}, {'name': 'Evelyn Gail', 'description': 'actor'}, {'name': 'Kevin Thomas Klearman', 'description': 'actor'}, {'name': 'Ada Hurtado', 'description': 'actor'}, {'name': 'Ben Johnson', 'description': 'actor'}, {'name': 'Michael Morrison', 'description': 'actor'}, {'name': 'Carson Brom', 'description': 'actor'}, {'name': 'Sean Abplanalp', 'description': 'actor'}, {'name': 'Daniel Mortemore', 'description': 'actor'}, {'name': 'Mayou Roffe', 'description': 'actor'}, {'name': 'Rodney Mullet', 'description': 'actor'}, {'name': 'Neil McCalmont', 'description': 'actor'}, {'name': 'Rocko Zevenbergen', 'description': 'actor'}, {'name': 'Brian Zevenbergen', 'description': 'actor'}]"
Frank Lloyd Wright,1/23/1998,"Biography, Documentary",Kanopy,,Movie,All (G),7.8/10,,[]
"Poe: In His Own Words, An Evening with Edgar Allan Poe",10/25/2016,Drama,"Free Services, Prime Video",,Movie,7+ (PG),,,"[{'name': 'Mark W. Curran', 'description': 'director'}, {'name': 'Travis Rhett Wilson', 'description': 'actor'}, {'name': 'Mark W. Curran', 'description': 'author'}, {'name': 'Travis Rhett Wilson', 'description': 'author'}]"
Mrs. Winterbourne,4/19/1996,"Romance, Comedy","HBO MAX, Prime Video",America,Movie,13+ (PG-13),6.2/10,,"[{'name': 'Richard Benjamin', 'description': 'director'}, {'name': 'Shirley MacLaine', 'description': 'actor'}, {'name': 'Ricki Lake', 'description': 'actor'}, {'name': 'Brendan Fraser', 'description': 'actor'}, {'name': 'Jane Krakowski', 'description': 'actor'}, {'name': 'Loren Dean', 'description': 'actor'}, {'name': 'Miguel Sandoval', 'description': 'actor'}, {'name': 'Susan Haskell', 'description': 'actor'}, {'name': 'Debra Monk', 'description': 'actor'}, {'name': 'Cathryn de Prume', 'description': 'actor'}, {'name': 'Peter Gerety', 'description': 'actor'}, {'name': 'Kate Hennig', 'description': 'actor'}, {'name': 'Victor A. Young', 'description': 'actor'}, {'name': 'Paula Prentiss', 'description': 'actor'}, {'name': 'Dale Pollock', 'description': 'actor'}, {'name': 'Oren Koules', 'description': 'actor'}, {'name': 'Ross Canter', 'description': 'actor'}, {'name': 'Cornell Woolrich', 'description': 'author'}, {'name': 'Lisa-Maria Radano', 'description': 'author'}, {'name': 'Phoef Sutton', 'description': 'author'}, {'name': 'Patrick Doyle', 'description': 'actor'}]"
The Great Outdoors,6/17/1988,"Drama, Comedy","AMC, Prime Video",America,Movie,7+ (PG),6.6/10,,"[{'name': 'Howard Deutch', 'description': 'director'}, {'name': 'Dan Aykroyd', 'description': 'actor'}, {'name': 'John Candy', 'description': 'actor'}, {'name': 'Stephanie Faracy', 'description': 'actor'}, {'name': 'Annette Bening', 'description': 'actor'}, {'name': 'Chris Young', 'description': 'actor'}, {'name': 'Lucy Deakins', 'description': 'actor'}, {'name': 'Robert Prosky', 'description': 'actor'}, {'name': 'Ian Giatti', 'description': 'actor'}, {'name': 'Hilary Gordon', 'description': 'actor'}, {'name': 'Rebecca Gordon', 'description': 'actor'}, {'name': 'Zoaunne LeRoy', 'description': 'actor'}, {'name': 'Nancy Lenehan', 'description': 'actor'}, {'name': 'John Bloom', 'description': 'actor'}, {'name': 'Lewis Arquette', 'description': 'actor'}, {'name': 'Britt Leach', 'description': 'actor'}, {'name': 'Cliff Bemis', 'description': 'actor'}, {'name': 'Paul Hansen', 'description': 'actor'}, {'name': 'Debra Lee Ortega', 'description': 'actor'}, {'name': 'Sierra Somerville', 'description': 'actor'}, {'name': 'Christine Spiotta', 'description': 'actor'}, {'name': 'Chris Bass', 'description': 'actor'}, {'name': 'Arne Schmidt', 'description': 'actor'}, {'name': 'John Hughes', 'description': 'actor'}]"
Leprechaun,1/8/1993,"Horror, Comedy","Free Services, Prime Video",America,Movie,18+ (R),4.7/10,,"[{'name': 'Mark Jones', 'description': 'director'}, {'name': 'Warwick Davis', 'description': 'actor'}, {'name': 'Jennifer Aniston', 'description': 'actor'}, {'name': 'Ken Olandt', 'description': 'actor'}, {'name': 'Mark Holton', 'description': 'actor'}, {'name': 'Robert Hy Gorman', 'description': 'actor'}, {'name': 'Shay Duffin', 'description': 'actor'}, {'name': 'John Sanderford', 'description': 'actor'}, {'name': 'John Voldstad', 'description': 'actor'}, {'name': 'Pamela Mant', 'description': 'actor'}, {'name': 'William Newman', 'description': 'actor'}, {'name': 'David Permenter', 'description': 'actor'}, {'name': 'Raymond C. Turner', 'description': 'actor'}, {'name': 'Heather Kennedy', 'description': 'actor'}, {'name': 'Tim Garrick', 'description': 'actor'}, {'name': 'Alexandra Sachs', 'description': 'actor'}, {'name': 'Brandon Sachs', 'description': 'actor'}, {'name': 'Klexius Kolby', 'description': 'actor'}, {'name': 'David Tripet', 'description': 'actor'}, {'name': 'Jeffrey B. Mallian', 'description': 'actor'}, {'name': 'Mark Amin', 'description': 'actor'}, {'name': 'Mark Jones', 'description': 'author'}, {'name': 'Kevin Kiner', 'description': 'actor'}, {'name': 'Robert J. Walsh', 'description': 'actor'}]"
Lobster Cop,6/21/2018,"Mystery, Comedy","Free Services, Prime Video",China,Movie,,5.1/10,,"[{'name': 'Li Xinyun', 'description': 'director'}, {'name': 'Wang Qian-Yuan', 'description': 'actor'}, {'name': 'Yuan Shanshan', 'description': 'actor'}, {'name': 'Liu Hua', 'description': 'actor'}, {'name': 'You Kai Zhou', 'description': 'actor'}, {'name': 'Shen Teng', 'description': 'actor'}, {'name': 'Yuan Mao', 'description': 'actor'}, {'name': 'Li Xinyun', 'description': 'author'}]"
The Perfect Catch,4/22/2017,"Family, Drama",Prime Video ,America,Movie,All (G),6.5/10,,"[{'name': 'Steven R. Monroe', 'description': 'director'}, {'name': 'Nikki DeLoach', 'description': 'actor'}, {'name': 'Andrew W. Walker', 'description': 'actor'}, {'name': 'Lisa Durupt', 'description': 'actor'}, {'name': 'Chance Hurstfield', 'description': 'actor'}, {'name': 'Vincent Dangerfield', 'description': 'actor'}, {'name': 'P. Lynn Johnson', 'description': 'actor'}, {'name': 'Eric Keenleyside', 'description': 'actor'}, {'name': 'Brent Fidler', 'description': 'actor'}, {'name': 'Sean Campbell', 'description': 'actor'}, {'name': 'Jason Schombing', 'description': 'actor'}, {'name': 'Annabel Kershaw', 'description': 'actor'}, {'name': 'Ben Wilkinson', 'description': 'actor'}, {'name': 'Trevor Lerner', 'description': 'actor'}, {'name': 'Doron Bell', 'description': 'actor'}, {'name': 'Siobhán McCarthy', 'description': 'actor'}, {'name': 'Taylor St. Pierre', 'description': 'actor'}, {'name': 'Mike Gazzola', 'description': 'actor'}, {'name': 'Jaden Allen Wilson', 'description': 'actor'}, {'name': 'Maggie Sullivun', 'description': 'actor'}, {'name': 'Hannah Pederson', 'description': 'actor'}, {'name': 'Andy Nez', 'description': 'actor'}, {'name': 'Harvey Kahn', 'description': 'actor'}]"
Law & Order: Criminal Intent,9/30/2001,"Drama, Crime","Free Services, Prime Video",America,TV Show,14+ (TV-14),7.5/10,10,"[{'name': ""Vincent D'Onofrio"", 'description': 'actor'}, {'name': 'Kathryn Erbe', 'description': 'actor'}, {'name': 'Julia Ormond', 'description': 'actor'}, {'name': 'Jay O. Sanders', 'description': 'actor'}, {'name': 'Alicia Witt', 'description': 'actor'}, {'name': 'Annabella Sciorra', 'description': 'actor'}, {'name': 'Chris Noth', 'description': 'actor'}, {'name': 'Courtney B. Vance', 'description': 'actor'}, {'name': 'Eric Bogosian', 'description': 'actor'}, {'name': 'Jamey Sheridan', 'description': 'actor'}, {'name': 'Jeff Goldblum', 'description': 'actor'}, {'name': 'Julianne Nicholson', 'description': 'actor'}, {'name': 'Chris Brancato', 'description': 'actor'}, {'name': 'Dick Wolf', 'description': 'actor'}, {'name': 'Peter Jankowski', 'description': 'actor'}, {'name': 'Walon Green', 'description': 'actor'}, {'name': 'Warren Leight', 'description': 'actor'}, {'name': 'Dick Wolf', 'description': 'actor'}]"
